name,location_desc,county,size,lat,lon
Calf Creek,Tributary of Dairy Creek,Clark,2.1 mi.,45.1531416,-114.8971449
Camas Creek,Tributary of Mud Lake,"Clark, Jefferson",63.3 mi.,44.8876415,-114.6840131
Camp Creek,Tributary of Beaver Creek,Clark,2.3 mi.,48.5637871,-116.1065637
Camp Creek,Tributary of North Creek,Butte,4.6 mi.,48.5637871,-116.1065637
Camp Creek,Tributary of Leadbelt Creek,Butte,1.8 mi.,48.5637871,-116.1065637
Camp Creek,Tributary of Fall Creek,Bonneville,4.7 mi.,48.5637871,-116.1065637
Camp Creek,Tributary of North Fork Bear Creek,Bonneville,1.7 mi.,48.5637871,-116.1065637
Camp Creek,South Fork Drainage,Bonneville,2.4 mi.,48.5637871,-116.1065637
Canyon Creek,Tributary of Jones Creek,Fremont,4.3 mi.,43.1814733,-115.7328133
Canyon Creek,Tributary of Teton River,Madison,20.8 mi.,43.1814733,-115.7328133
Canyon Creek,Tributary of Willow Creek,Bonneville,3 mi.,43.1814733,-115.7328133
Carlin Creek,Tributary of Cottonwood Creek,Lemhi,3 mi.,47.5362248,-116.7050936
Carter Creek,Snake River Drainage,"Bingham, Bonneville",1.7 mi.,48.2264065,-116.2622771
Cascade Creek,Tributary of Boundary Creek,Fremont,6.1 mi.,45.7962403,-116.1322318
Castle Creek,Tributary of West Camas Creek,Clark,2 mi.,43.5625035,-116.3640272
Castle Creek,Tributary of East Fork Big Lost River,Custer,3.5 mi.,43.5625035,-116.3640272
Castle Lake,South Fork Drainage,Teton,1.8 acres,44.0463259,-114.5766755
Cattle Creek,Tributary of Grays Lake Outlet,Bonneville,3.2 mi.,43.6268214,-111.1530486
Cave Gulch,Tributary of Pass Creek,Butte,1.9 mi.,45.9874563,-116.9069867
Cedar Canyon,Lost River Drainage,Butte,3.5 mi.,43.9362297,-112.891586
Cedar Creek,Snake River Drainage,Bingham,6.3 mi.,48.0182385,-116.4463052
Cedar Creek,Tributary of Thousand Springs Creek,Custer,2.5 mi.,48.0182385,-116.4463052
